block,plot,plant_num,spp_mix,plot_type,mix_type,species1,species2,mass_Sp,mass,bag_wt,true_wt,th,cd_fr,bc_ram_num,stem_num,leaf_num,sh,alive
1,1,1,ACAM,MONO,MONO_A,ACAM,ACAM,ACAM,6.84,5.43,1.41,64,16,5,1,5,0,Y
1,1,2,ACAM,MONO,MONO_A,ACAM,ACAM,ACAM,7.32,5.43,1.89,60,20,6,1,6,0,Y
1,1,3,ACAM,MONO,MONO_A,ACAM,ACAM,ACAM,7.29,5.43,1.86,56,11,4.5,1,5,0,Y
1,1,4,ACAM,MONO,MONO_A,ACAM,ACAM,ACAM,9.21,5.43,3.78,80,39,8,5,28,0,Y
1,1,5,ACAM,MONO,MONO_A,ACAM,ACAM,ACAM,7.74,5.43,2.31,60,36,6.5,1,7,0,Y
1,1,6,ACAM,MONO,MONO_A,ACAM,ACAM,ACAM,6.2,5.43,0.77,51,8,3.5,1,4,0,Y
1,1,7,ACAM,MONO,MONO_A,ACAM,ACAM,ACAM,7.54,5.43,2.11,71,21,5.5,1,6,0,Y
1,1,8,ACAM,MONO,MONO_A,ACAM,ACAM,ACAM,8.88,5.43,3.45,58,40,12,2,17,0,Y
1,1,9,ACAM,MONO,MONO_A,ACAM,ACAM,ACAM,6.98,5.43,1.55,64,22,6,1,7,0,Y
1,1,10,ACAM,MONO,MONO_A,ACAM,ACAM,ACAM,7.59,5.43,2.16,65,32,7,2,12,0,Y
1,1,NA,ACAM,MONO,MONO_A,ACAM,ACAM,TYPHA,338.1,41.73,296.37,NA,NA,NA,26,NA,NA,Y
1,2,NA,PEVI-ACAM,MIXED,PA,PEVI,ACAM,TYPHA,571.94,41.73,530.21,NA,NA,NA,45,NA,NA,NA
1,2,NA,PEVI-ACAM,MIXED,PA,PEVI,ACAM,ACAM,46.3,41.73,4.57,NA,NA,NA,NA,NA,NA,NA
1,2,NA,PEVI-ACAM,MIXED,PA,PEVI,ACAM,PEVI,42.75,41.73,1.02,NA,NA,NA,NA,NA,NA,NA
1,3,NA,SALA-SPEU,MIXED,PA,SALA,SPEU,TYPHA,640.94,41.73,599.21,NA,NA,NA,53,NA,NA,NA
1,3,NA,SALA-SPEU,MIXED,PA,SALA,SPEU,SPEU,50.55,41.73,8.82,NA,NA,NA,NA,NA,NA,NA
1,3,NA,SALA-SPEU,MIXED,PA,SALA,SPEU,SALA,58.06,41.73,16.33,NA,NA,NA,NA,NA,NA,NA
1,4,NA,SYPU,MONO,MONO_B,SYPU,SYPU,TYPHA,558.06,41.73,516.33,NA,NA,NA,56,NA,NA,Y
1,4,1,SYPU,MONO,MONO_B,SYPU,SYPU,SYPU,0,NA,0,NA,NA,NA,NA,NA,NA,N
1,4,2,SYPU,MONO,MONO_B,SYPU,SYPU,SYPU,0,NA,0,NA,NA,NA,NA,NA,NA,N
1,4,3,SYPU,MONO,MONO_B,SYPU,SYPU,SYPU,0,NA,0,NA,NA,NA,NA,NA,NA,N
1,4,4,SYPU,MONO,MONO_B,SYPU,SYPU,SYPU,0,NA,0,NA,NA,NA,NA,NA,NA,N
1,4,5,SYPU,MONO,MONO_B,SYPU,SYPU,SYPU,0,NA,0,NA,NA,NA,NA,NA,NA,N
1,4,6,SYPU,MONO,MONO_B,SYPU,SYPU,SYPU,0,NA,0,NA,NA,NA,NA,NA,NA,N
1,4,7,SYPU,MONO,MONO_B,SYPU,SYPU,SYPU,0,NA,0,NA,NA,NA,NA,NA,NA,N
1,4,8,SYPU,MONO,MONO_B,SYPU,SYPU,SYPU,0,NA,0,NA,NA,NA,NA,NA,NA,N
1,4,9,SYPU,MONO,MONO_B,SYPU,SYPU,SYPU,0,NA,0,NA,NA,NA,NA,NA,NA,N
1,4,10,SYPU,MONO,MONO_B,SYPU,SYPU,SYPU,0,NA,0,NA,NA,NA,NA,NA,NA,N
1,5,1,SALA,MONO,MONO_A,SALA,SALA,SALA,11.87,5.43,6.44,71,32,1,3,16,4,Y
1,5,2,SALA,MONO,MONO_A,SALA,SALA,SALA,9.25,5.43,3.82,51,18,2,4,13,1,Y
1,5,3,SALA,MONO,MONO_A,SALA,SALA,SALA,26.03,5.43,20.6,62,76,8,11,42,11,Y
1,5,4,SALA,MONO,MONO_A,SALA,SALA,SALA,15.58,5.43,10.15,64,NA,NA,2,10,4,Y
1,5,5,SALA,MONO,MONO_A,SALA,SALA,SALA,21.09,5.43,15.66,68,50,7,9,42,6,Y
1,5,6,SALA,MONO,MONO_A,SALA,SALA,SALA,11.05,5.43,5.62,60,85,4,7,34,3,Y
1,5,7,SALA,MONO,MONO_A,SALA,SALA,SALA,8.53,5.43,3.1,67,NA,NA,2,5,1,Y
