plant_num,mass_sp,th,cd_fr,bc_ram_num,sh,leaf_num,mass,bag_mass (using 6b from bagweights--dbl check in notebook),true_wt
1,HIMO,34,18,3,0,16,8.36,6.34,2.02
2,HIMO,37,13,4,0,12,8.14,6.34,1.8
3,HIMO,42,15,5,0,16,8.43,6.34,2.09
4,HIMO,36,13,4.5,0,23,8.31,6.34,1.97
5,HIMO,31,4.5,3,0,14,7.81,6.34,1.47
6,HIMO,31,15,5,0,15,8.76,6.34,2.42
1,PEVI,23,10,2.5,0,2,6.61,6.34,0.27
2,PEVI,32,2,3,0,1,6.74,6.34,0.4
3,PEVI,25,7,3.5,0,2,6.81,6.34,0.47
4,PEVI,20,4,3,1,1,6.71,6.34,0.37
5,PEVI,21,5.5,3,0,2,6.75,6.34,0.41
6,PEVI,26,3,3,0,2,6.62,6.34,0.28
1,ACAM,33,10,3,0,8,6.94,6.34,0.6
2,ACAM,25.5,15,6,0,9,7.12,6.34,0.78
3,ACAM,32,13,3.2,0,5,6.96,6.34,0.62
4,ACAM,25,5,4,0,6,6.83,6.34,0.49
5,ACAM,28,5,3.5,0,5,6.83,6.34,0.49
6,ACAM,23.5,5,4,0,6,6.78,6.34,0.44
1,SCTA2,35.5,1.5,3,0,5,6.87,6.34,0.53
2,SCTA2,34.5,3,2.5,1,2,6.81,6.34,0.47
3,SCTA2,33,3,3,0,4,6.97,6.34,0.63
4,SCTA2,39,2,2.5,0,3,6.92,6.34,0.58
5,SCTA2,29,5,4,0,3,7.13,6.34,0.79
6,SCTA2,48,1.5,2.5,1,3,6.93,6.34,0.59
1,BOFL3,38,26,2.5,0,5,7.01,6.34,0.67
2,BOFL3,35,19,3,0,6,7.31,6.34,0.97
3,BOFL3,35,19,2.5,0,4,6.83,6.34,0.49
4,BOFL3,45,15,2.5,0,5,7.04,6.34,0.7
5,BOFL3,43,28,3,0,NA,7.19,6.34,0.85
6,BOFL3,38,16,2.5,0,6,6.96,6.34,0.62
1,SCCY,34.5,37,5,0,NA,7.85,6.34,1.51
2,SCCY,37,35,4.5,0,NA,7.74,6.34,1.4
3,SCCY,34,22,4,0,NA,7.11,6.34,0.77
4,SCCY,36,26,3.5,0,NA,7.51,6.34,1.17
5,SCCY,34,28,4,0,NA,7.55,6.34,1.21
6,SCCY,45,25,5,0,NA,7.55,6.34,1.21
1,JUEF,40,17,5.5,0,NA,7.71,6.34,1.37
2,JUEF,43,18,6,0,NA,8.56,6.34,2.22
3,JUEF,51,15,5.5,0,NA,8.11,6.34,1.77
4,JUEF,48,24,6.5,0,NA,7.97,6.34,1.63
5,JUEF,48,23,7,0,NA,9.69,6.34,3.35
6,JUEF,37,19,5,0,NA,7.77,6.34,1.43
1,SALA2,12,5,2.5,0,4,6.64,6.34,0.3
2,SALA2,13,6,2.5,0,5,6.58,6.34,0.24
3,SALA2,19.5,12,4.5,0,13,6.76,6.34,0.42
4,SALA2,30,14,4.5,0,7,6.96,6.34,0.62
5,SALA2,16.5,6.5,3.3,0,10,6.82,6.34,0.48
6,SALA2,12,3,2.5,0,5,6.57,6.34,0.23
1,SPEU,32.5,13,4.5,0,7,7.37,6.34,1.03
2,SPEU,38,16,6,0,7,8.53,6.34,2.19
3,SPEU,29,6,5,0,4,7.45,6.34,1.11
4,SPEU,30,12.5,3.5,0,5,6.73,6.34,0.39
5,SPEU,25,2,4,0,4,7.19,6.34,0.85
6,SPEU,29,29,4,0,3,7.37,6.34,1.03
